Kanji,Meaning,Radicals,Sound
大,Big,Big,だい
人,Person,Person,じん
七,Seven,Seven,なな
十,Ten,Cross,じゅう
工,Construction,Construction,こう
九,Nine,Nine,きゅう
八,Eight,Fins,やつ
二,Two,Two,ふた
上,Above,Toe + Ground,あ
下,Below,Ground + Toe,くだ
入,Enter,Enter,にゅ
口,Mouth,Mouth,くち
力,Power,Power,りょく
川,River,River,かわ
一,One,Ground,いつ
三,Three,Two + Ground,さん
山,Mountain,Mountain,やま
女,Woman,Woman,じょ
又,Again,Stool,また
文,Writing,Writing,ぶん
刀,Sword,Sword,とう
中,Middle,Middle,ちゅ
土,Dirt,Dirt,ど
日,Sun,Sun,び
田,Rice Paddy,Rice Paddy,でん
五,Five,Five,ご
立,Stand,Stand,りつ
玉,Ball,King + Drop,たま
火,Fire,Fire,か
才,Genius,Cross + Slide,さい
々,Repeater,Prison + Drop,Repeat
了,Finish,Barb + Barb,りょう
千,Thousand,Thousand,せん
月,Moon,Moon,げつ
石,Stone,Stone,せき
丁,Street,Street,ちょう
夕,Evening,Evening,ゆう
目,Eye,Eye,め
白,White,White,はく
木,Tree,Tree,もく
円,Yen,Head + Lid,えん
四,Four,Mouth + Legs,し
六,Six,Lid + Fins,りく
出,Exit,Exit,で
犬,Dog,Dog,けん
子,Child,Child,し
手,Hand,Hand,て
左,Left,Narwhal + Construction,ひだり
正,Correct,Ground + Stop,せい
天,Heaven,Heaven,てん
王,King,King,おう
小,Small,Small,しょう
右,Right,Narwhal + Mouth,みぎ
本,"Book, Real, Origin",Book,ほん
丸,Circle,Nine + Drop,まる
水,Water,Water,すい
万,Ten Thousand,Leaf + Sword,まん
用,Task,Task,よう
久,Long Time,Prison + Slide,きゅう
元,Origin,Origin,もと
兄,Older Brother,Mouth + Legs,あに
午,Noon,Slide + Dry,ご
太,Fat,Big + Drop,たい
毛,Fur,Fur,け
方,Direction,Direction,ほう
外,Outside,Evening + Toe,がい
公,Public,Fins + Private,こう
引,Pull,Bow + Stick,ひ
生,Life,Life,せい
戸,Door,Door,と
切,Cut,Seven + Sword,き
少,Few,Small + Slide,しょう
市,City,Lid + Towel,し
牛,Cow,Cow,ぎゅう
分,Part,Fins + Sword,ぶん
母,Mother,Window,ぼ
矢,Arrow,Arrow,や
止,Stop,Stop,し
北,North,Fingers + Spoon,ほく
冬,Winter,Winter + Two,ふゆ
友,Friend,Narwhal + Stool,ゆう
広,Wide,Mullet + Private,ひろ
今,Now,Now,こん
内,Inside,Head + Person,ない
半,Half,Triceratops + Dry,はん
古,Old,Old,こ
台,Machine,Private + Mouth,だい
心,Heart,Heart,しん
父,Father,Father,ふ
先,Previous,Slide + Dirt + Legs,せん
代,"Substitute, Period, Age",Leader + Ceremony,だい
皮,Skin,Slide + Branch,かわ
平,"Peace, Flat",Dry + Horns,へい
皿,Plate,Plate,ざら
虫,Insect,Insect,むし
礼,Thanks,Spirit + Umbrella,れい
央,Center,Big + Head,おう
氷,Ice,Drop + Water,ひょう
村,Village,Tree + Measurement,そん
休,Rest,Leader + Tree,きゅう
赤,Red,Red,あか
貝,Shellfish,Shellfish,かい
申,Say Humbly,Cross + Mouth,もう
字,"Letter, Character",Roof + Child,じ
竹,Bamboo,Bamboo,たけ
主,Master,Master,しゅ
百,Hundred,Leaf + Sun,ひゃく
早,"Early, Fast",Sun + Cross,はや
去,Past,Dirt + Private,きょ
男,Man,Rice Paddy + Power,だん
写,Copy,Forehead + Beggar + Ground,しゃ
車,Car,Car,しゃ
見,See,See,み
花,Flower,Flowers + Leader + Spoon,はな
打,Hit,Fingers + Street,う
名,Name,Evening + Mouth,めい
耳,Ear,Ear,みみ
糸,Thread,Thread,いと
号,Number,Mouth + Ground + Prison,ごう
町,Town,Rice Paddy + Street,まち
不,Not,Not,ふ
仕,Doing,Leader + Samurai,し
年,Year,Gun + Cow,ねん
世,"World, Generation",World,せ
足,Foot,Foot,あし
他,Other,Leader + Alligator,た
気,"Energy, Spirit",Energy + Treasure,き
交,Mix,Lid + Father,こう
多,Many,Evening + Evening,た
里,Home Village,Village,り
自,Self,Self,じ
池,Pond,Tsunami + Alligator,ち
空,Sky,Roof + Legs + Construction,くう
当,Correct,Triceratops + Wolverine,とう
肉,Meat,Meat,にく
麦,Wheat,Life + Winter,むぎ
草,Grass,Flowers + Sun + Cross,くさ
売,Sell,Samurai + Forehead + Legs,う
羽,Feather,Feathers,は
西,West,West,せい
声,Voice,Samurai + Flag + Stick,こえ
金,Gold,Gold,きん
谷,Valley,Fins + Hat + Mouth,たに
走,Run,Run,そう
雨,Rain,Rain,あめ
林,Forest,Tree + Tree,りん
図,Diagram,Mouth + Treasure + Ice,ず
形,"Shape, Appearance",Lantern + Hair,けい
光,"Sunlight, Light",Triceratops + Pi,こう
回,"Times, Revolve",Mouth + Mouth,かい
色,Color,Color,いろ
角,"Angle, Corner",Prison + Task,かく
音,Sound,Stand + Sun,おん
米,Rice,Rice,べい
行,Go,Go,こう
作,Make,Leader + Key,さく
社,Company,Spirit + Dirt,しゃ
来,Come,Ground + Rice,らい
弟,Younger Brother,Horns + Bow + Stick + Slide,てい
同,Same,Mustache + Ground,どう
言,Say,Say,げん
会,Meet,Meet,かい
近,"Near, Close",Treadmill + Axe,ちか
考,Think,Coffin + Beggar,こう
毎,Every,Gun + Window + Stick,まい
青,Blue,Blue,あお
学,"Study, Learning",Viking + Child,がく
何,What,Leader + Lip Ring,なに
体,Body,Leader + Book,たい
前,"Before, Front",Horns + Ground + Moon + Knife,ぜん
