Kanji,Meaning,Radicals,Sound
大学,university,Big + Study,だいがく
大人,adult,Big + Person,おとな
大統領,president (of a country),Big + Unite + Territory,だいとうりょう
大陸,continent,Big + Land,たいりく
大臣,cabinet minister,Big + Servant,だいじん
大変,very,Big + Change,たいへん
大きい,big,Big,おお
大切,important,Big + Cut,たいせつ
大好き,liking very much,Big + Like,だいす
大丈夫,safe,Big + Height + Husband,だいじょうぶ
大勢,crowd of people,Big + Force,おおぜい
大学院,graduate school,Big + Study + Institution,だいがくいん
大抵,mostly,Big + Resist,たいてい
大事,important,Big + Action,だいじ
大体,generally,Big + Body,だいたい
大学生,university student,Big + Study + Life,だいがくせい
大いに,very,Big,おお
偉大,great,Greatness + Big,いだい
巨大,huge,Giant + Big,きょだい
大会,mass meeting,Big + Meet,たいかい
拡大,expansion,Extend + Big,かくだい
大気,atmosphere,Big + Energy,たいき
大した,considerable,Big,たい
総理大臣,prime minister (as the head of a cabinet government),Whole + Reason + Big + Servant,そうりだいじん
膨大,huge,Swell + Big,ぼうだい
大人しい,gentle,Big + Person,おとな
大衆,general public,Big + Populace,たいしゅう
大胆,bold,Big + Guts,だいたん
大幅,big,Big + Width,おおはば
壮大,magnificent,Robust + Big,そうだい
大空,wide open sky,Big + Sky,おおぞら
大概,generally,Big + Approximation,たいがい
太平洋,Pacific Ocean,Fat + Peace + Western Style,たいへいよう
大尉,"captain (Army, US Marine Corps, USAF)",Big + Military Officer,たいい
大砲,(large) gun,Big + Cannon,たいほう
大仏,large statue of Buddha (trad. at least 4.8m high),Big + Buddha,だいぶつ
大文字,uppercase letter,Big + Writing + Letter,おおもじ
大量,large quantity,Big + Quantity,たいりょう
寛大,tolerant,Tolerance + Big,かんだい
大規模,large-scale,Big + Standard + Imitation,だいきぼ
大騒ぎ,clamour,Big + Boisterous,おおさわ
大将,general,Big + Commander,たいしょう
医大,medical university,Medicine + Big,いだい
大声,loud voice,Big + Voice,おおごえ
大嫌い,hating,Big + Dislike,だいきら
大きさ,size,Big,おお
大阪,"Osaka (city, prefecture)",Big + Heights,おおさか
甚大,very great,Very + Big,じんだい
大敵,great rival,Big + Enemy,たいてき
大学院生,graduate student,Big + Study + Institution + Life,だいがくいんせい
外務大臣,Minister for Foreign Affairs,Outside + Task + Big + Servant,がいむだいじん
大佐,colonel,Big + Help,たいさ
私立大学,private university,I + Stand + Big + Study,しりつだいがく
大きく,in a big way,Big,おお
副大統領,vice president (of a country),Vice + Big + Unite + Territory,ふくだいとうりょう
大根,"daikon (variety of large white Oriental radish, Raphanus sativus var. longipinnatus)",Big + Root,だいこん
大間違い,great mistake,Big + Interval + Different,おおまちが
大根,"daikon (variety of large white Oriental radish, Raphanus sativus var. longipinnatus)",Big + Root,だいこん
大間違い,great mistake,Big + Interval + Different,おおまちが
外国人,foreigner,Outside + Country + Person,がいこくじん
大人,adult,Big + Person,おとな
人形,doll,Person + Shape,にんぎょう
人口,population,Person + Mouth,じんこう
商人,merchant,Merchandise + Person,しょうにん
人間,human being,Person + Interval,にんげん
人生,(one's) life,Person + Life,じんせい
詩人,poet,Poem + Person,しじん
個人,individual,Individual + Person,こじん
人種,race (of people),Person + Kind,じんしゅ
恋人,lover,Romance + Person,こいびと
人差し指,index finger,Person + Distinction + Finger,ひとさゆび
殺人,murder,Kill + Person,さつじん
人格,personality,Person + Status,じんかく
証人,witness,Evidence + Person,しょうにん
友人,friend,Friend + Person,ゆうじん
他人,another person,Other + Person,たにん
老人,old person,Elderly + Person,ろうじん
人気,popularity,Person + Energy,にんき
美人,beautiful woman,Beauty + Person,びじん
婦人,woman,Wife + Person,ふじん
人類,mankind,Person + Type,じんるい
犯人,offender,Crime + Person,はんにん
名人,master,Name + Person,めいじん
役人,government official,Service + Person,やくにん
人ごみ,crowd of people,Person,ひと
男の人,man,Man + Person,おとこひと
大人しい,gentle,Big + Person,おとな
独り言,soliloquy,Alone + Say,ひとごと
人造,artificial,Person + Create,じんぞう
女の人,woman,Woman + Person,おんなひと
人柄,personality,Person + Pattern,ひとがら
人情,humanity,Person + Feeling,にんじょう
玄人,expert,Mysterious + Person,くろうと
一人,one person,One + Person,ひとり
二人,two persons,Two + Person,ふたり
外人,foreigner (esp. one of European ancestry),Outside + Person,がいじん
人権,human rights,Person + Rights,じんけん
軍人,serviceman,Army + Person,ぐんじん
人類学,anthropology,Person + Type + Study,じんるいがく
求人,recruiting,Request + Person,きゅうじん
人参,carrot (Daucus carota),Person + Participate,にんじん
人工,artificial,Person + Construction,じんこう
人々,people,Person + Repeater,ひとびと
三人,three people,Three + Person,さんにん
主人,head (of a household),Master + Person,しゅじん
病人,sick person,Sick + Person,びょうにん
隣人,neighbour,Neighbor + Person,りんじん
囚人,prisoner,Criminal + Person,しゅうじん
村人,villager,Village + Person,むらびと
黒人,black person,Black + Person,こくじん
悪人,bad person,Bad + Person,あくにん
別人,different person,Separate + Person,べつじん
人数,the number of people,Person + Count,にんずう
住人,dweller,Dwelling + Person,じゅうにん
盲人,blind person,Blind + Person,もうじん
巨人,giant,Giant + Person,きょじん
愛人,lover,Love + Person,あいじん
芸人,(TV) comedian,Acting + Person,げいにん
賢人,wise person,Clever + Person,けんじん
達人,master,Attain + Person,たつじん
人脈,personal connections,Person + Vein,じんみゃく
万人,all people,Ten Thousand + Person,ばんにん
